n,avg_bfs_ms,ci_bfs_ms,avg_dij_ms,ci_dij_ms,ratio_dij_over_bfs
2,0.001197,0.000013,0.002216,0.000011,1.850472
10,0.001806,0.000034,0.010836,0.000212,5.998315
30,0.004419,0.000160,0.031939,0.000757,7.227284
50,0.006711,0.000256,0.051005,0.001296,7.599793
100,0.013498,0.000555,0.105473,0.002723,7.813775
200,0.025544,0.001156,0.221632,0.005560,8.676397
500,0.064549,0.003128,0.582780,0.016162,9.028442
1000,0.126667,0.006090,1.218422,0.032766,9.619072
2000,0.266901,0.012984,2.513260,0.069488,9.416439
3000,0.415207,0.020300,3.907942,0.114039,9.412035
4000,0.547494,0.026531,5.491273,0.152932,10.029837
5000,0.677980,0.034182,6.897757,0.192466,10.173985
6000,0.836001,0.040731,8.367502,0.228594,10.008960
7000,1.023569,0.048973,9.842123,0.279101,9.615493
8000,1.160828,0.059133,11.225038,0.331436,9.669858
